Academic_Success_Center 7
   1074.898925 803.3547522 0
Holtzendorff_Hall 18
   1182.343262 1140.832192 0
   1212.487676 1138.054417 0
   1214.709896 1154.409957 0
   1226.698773 1153.309958 0
   1226.087663 1148.821073 0
   1238.998761 1147.632186 0
   1237.954318 1139.932193 0
   1233.743211 1140.321082 0
   1231.232102 1121.809989 0
   1233.776544 1121.576656 0
   1232.42099 1111.565555 0
   1219.776558 1112.721109 0
   1219.221003 1108.58778 0
   1209.632124 1109.465557 0
   1211.287678 1121.60999 0
   1211.765455 1125.132208 0
   1180.598819 1127.998872 0
   1181.543263 1134.921087 0
Howard_L_Hunter_Chemistry_Laboratory 8
   1092.310019 578.1883107 0
   1082.62114 579.1549764 0
   1083.565583 585.0660816 0
   1020.598979 591.8660748 0
   1018.665648 581.554974 0
   1010.721212 539.3883495 0
   1017.643427 538.4883504 0
   1015.85454 530.8105803 0
Hunter_Auditorium 3
   1065.176713 555.5105556 0
   1060.265606 526.7439177 0
   1026.46564 530.5883583 0
Indoor_Football_Practice_Facility 4
   0 536.2550193 0
   15.8777619 476.4773013 0
   166.2442782 503.4772743 0
   150.3776274 563.2661034 0
John_C._Calhoun's_Office 4
   1080.854475 709.0437354 0
   1089.143355 708.4659582 0
   1088.332245 699.7548558 0
   1080.043364 700.2326331 0
Johnstone_Hall 7
   1162.22106 912.5435319 0
   1173.865493 988.5323448 0
   1181.787707 987.665679 0
   1186.409925 1029.376748 0
   1204.876573 1028.154527 0
   1201.487687 999.6545559 0
   1186.932146 909.9768678 0
Jordan_Hall 17
   1570.987318 639.4771383 0
   1574.253981 662.9660037 0
   1560.520662 664.2548913 0
   1563.498436 685.7104254 0
   1578.68731 684.2770935 0
   1582.009529 708.1437363 0
   1586.187303 707.7548478 0
   1586.842858 712.5103986 0
   1595.565071 711.6881772 0
   1594.809516 706.2770715 0
   1617.520605 704.1437403 0
   1608.109503 636.4882524 0
   1589.331744 638.2549173 0
   1588.709522 633.777144 0
   1581.487307 634.4549211 0
   1573.598426 635.1993648 0
   1574.153981 639.1771386 0
Kinard_Laboratory_of_Physics 14
   1448.631885 703.8659628 0
   1460.376317 702.9437415 0
   1460.80965 708.1881807 0
   1461.20965 713.0103981 1
   1473.376304 711.6992883 1
   1473.098527 707.2437372 0
   1472.731861 701.2437432 0
   1554.44289 692.7993072 0
   1552.231781 674.9659917 0
   1517.37626 679.7659869 0
   1515.55404 672.1437723 0
   1505.131828 673.7104374 0
   1506.242938 679.4104317 0
   1445.598554 685.2437592 0
Lee_Gallery 5
   1124.14332 407.6107035 0
   1120.176658 398.7884901 0
   1179.254376 382.7662839 0
   1184.632149 390.5218317 1
   1150.421072 400.1884887 0
Lee_III 4
   1038.610073 302.5330308 0
   1017.154538 250.333083 0
   1079.443365 231.9442125 0
   1132.187757 275.8219464 0
Lehotsky_Hall 12
   1467.798532 330.2107809 0
   1471.609639 331.777446 0
   1470.665196 334.9218873 0
   1495.45406 342.7663239 0
   1496.409615 340.4107707 0
   1501.176277 341.1885477 0
   1547.909563 243.9442005 0
   1544.098456 242.3664243 0
   1545.042899 239.2330941 0
   1520.254035 231.3886575 0
   1518.342926 234.5330988 0
   1514.531819 233.7442107 0
Lever_Hall 9
   1913.064754 638.0104731 0
